The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.92708        -36.26         0.0488         62.67          0.44384        119.3          0.86805        -32.08         

Pt        X         Y         gamma_s        angle          gamma_in       angle          
381       4500      6044      0.42293        142.80308      0.87557        -31.9432       
382       4590      6044      0.42205        136.86355      0.87594        -31.98298      
383       4680      6044      0.42133        130.94777      0.87628        -32.02657      
384       4770      6044      0.4203         124.9977       0.8766         -32.07513      
385       4860      6044      0.4191         119.0597       0.87686        -32.12868      
386       4950      6044      0.4167         113.06675      0.87705        -32.18861      
387       5040      6044      0.41454        107.03825      0.87716        -32.25456      
388       5130      6044      0.41158        101.01959      0.87715        -32.32635      
389       5220      6044      0.40953        94.89558       0.87702        -32.40519      
390       5310      6044      0.40662        88.76793       0.8767         -32.48899      
391       5400      6044      0.40343        82.59073       0.87613        -32.57656      
392       5490      6044      0.40005        76.38934       0.8753         -32.66454      
393       5580      6044      0.39665        70.0697        0.87414        -32.74995      
394       5670      6044      0.39348        63.79241       0.87267        -32.82497      
395       5760      6044      0.38931        57.40145       0.87085        -32.88106      
396       5850      6044      0.38606        50.99674       0.8688         -32.9142       
397       0         6115      0.46426        99.87089       0.87857        -32.33741      
398       82        6115      0.46163        94.22103       0.87854        -32.42179      
399       164       6115      0.45862        88.51401       0.87833        -32.51428      
400       246       6115      0.45592        82.8289        0.87791        -32.61286      
401       328       6115      0.45324        77.17097       0.87723        -32.7154       
402       410       6115      0.45005        71.37657       0.87619        -32.82073      
403       492       6115      0.44675        65.70052       0.87478        -32.91856      
404       574       6115      0.44355        59.87952       0.87295        -33.00632      
405       656       6115      0.44024        54.02189       0.87073        -33.07174      
406       738       6115      0.43675        48.18148       0.86822        -33.10411      
407       820       6115      0.4336         42.23673       0.86555        -33.09848      
408       902       6115      0.43015        36.35574       0.86299        -33.04969      
409       984       6115      0.42711        30.32663       0.86066        -32.96244      
410       1066      6115      0.42432        24.34956       0.85878        -32.84677      
411       1148      6115      0.42158        18.31142       0.85741        -32.71222      
412       1230      6115      0.41857        12.25573       0.85658        -32.57117      
413       1312      6115      0.41623        6.28468        0.8562         -32.43659      
414       1394      6115      0.4142         0.17005        0.85618        -32.30885      
415       1476      6115      0.4121         -5.89983       0.85645        -32.19547      
