The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.9334         -31.97         0.04727        71.77          0.45835        126.66         0.87881        -28.13         

Pt        X         Y         gamma_l        angle          gamma_out      angle          
304       6600      7314      0.36022        -74.47278      0.92805        -31.69058      
305       6800      7314      0.35547        -85.70664      0.92911        -31.65899      
306       7000      7314      0.34967        -97.05052      0.93014        -31.6387       
307       7200      7314      0.34271        -108.59295     0.93115        -31.62791      
308       7400      7314      0.3352         -120.30532     0.93211        -31.625        
309       7600      7314      0.32697        -132.36534     0.93306        -31.62939      
310       7800      7314      0.31876        -144.70073     0.93397        -31.64033      
311       8000      7314      0.31085        -157.37906     0.93486        -31.65779      
312       8200      7314      0.3041         -170.44902     0.93572        -31.68175      
313       8400      7314      0.29828        176.20226      0.93657        -31.71312      
314       8600      7314      0.29426        162.50472      0.93738        -31.75268      
315       8800      7314      0.29255        148.71235      0.93816        -31.80108      
316       9000      7314      0.29322        134.79103      0.93888        -31.86047      
317       9200      7314      0.29592        121.04133      0.9395         -31.9321       
318       9400      7314      0.30064        107.46457      0.93996        -32.01815      
319       9600      7314      0.30671        94.0644        0.94016        -32.12056      
320       9800      7314      0.31402        80.99237       0.93997        -32.2378       
321       10000     7314      0.32188        68.19323       0.93919        -32.36506      
322       10200     7314      0.33018        55.71345       0.93765        -32.48886      
323       10400     7314      0.33818        43.51112       0.93526        -32.58545      
324       10600     7314      0.34594        31.52323       0.93223        -32.6268       
325       10800     7314      0.35281        19.77347       0.92906        -32.5921       
326       11000     7314      0.3588         8.16584        0.9264         -32.48642      
327       11200     7314      0.36358        -3.29298       0.92469        -32.33775      
328       11400     7314      0.36737        -14.62704      0.92397        -32.18006      
329       11600     7314      0.36998        -25.86605      0.92404        -32.03636      
330       11800     7314      0.37103        -37.03854      0.92463        -31.91707      
331       0         7396      0.40006        -36.55827      0.92391        -31.90121      
332       181       7396      0.40027        -46.67039      0.92484        -31.81002      
333       362       7396      0.39911        -56.8171       0.92588        -31.74032      
334       543       7396      0.39709        -66.99811      0.92695        -31.68813      
335       724       7396      0.39393        -77.22908      0.92802        -31.65033      
336       905       7396      0.38996        -87.50502      0.92906        -31.62393      
337       1086      7396      0.38515        -97.84759      0.93006        -31.60682      
338       1267      7396      0.37943        -108.27988     0.93102        -31.59753      
339       1448      7396      0.37324        -118.87391     0.93195        -31.59461      
340       1629      7396      0.3663         -129.58635     0.93284        -31.59775      
341       1810      7396      0.35963        -140.57335     0.93372        -31.60586      
342       1991      7396      0.3528         -151.76803     0.93457        -31.61933      
343       2172      7396      0.34629        -163.1699      0.9354         -31.63805      
344       2353      7396      0.34066        -174.87013     0.93623        -31.66227      
345       2534      7396      0.33589        173.25807      0.93703        -31.6926       
346       2715      7396      0.33291        161.13598      0.93783        -31.72966      
347       2896      7396      0.33133        148.90856      0.93861        -31.77478      
