Mag(8.95),Angle(8.95),fit_Mag(8.95),fit_Angle(8.95),Mag(10.95),Angle(10.95),fit_Mag(10.95),fit_Angle(10.95),Mag(12.95),Angle(12.95),fit_Mag(12.95),fit_Angle(12.95),Mag(14.95),Angle(14.95),fit_Mag(14.95),fit_Angle(14.95),Mag(16.95),Angle(16.95),fit_Mag(16.95),fit_Angle(16.95),Mag(18.95),Angle(18.95),fit_Mag(18.95),fit_Angle(18.95),Mag(20.95),Angle(20.95),fit_Mag(20.95),fit_Angle(20.95),Mag(22.95),Angle(22.95),fit_Mag(22.95),fit_Angle(22.95),Mag(24.95),Angle(24.95),fit_Mag(24.95),fit_Angle(24.95)
,,0.5103675208926907,3.3603820767980177,,,0.48506965748306236,2.1796230525418823,2.9570682914608604,-0.2511559761609636,0.42504653488230804,1.696141289727714,0.9555343092464936,0.020231329422783426,0.3268484582076673,1.3607386691485879,0.7492286985395746,-0.6467360741247254,0.23239248669581378,1.1405875430821075,0.24291258504781596,0.36592848081718776,0.15769714773088062,1.000098703975329,0.29739854257859266,-1.0240935583222166,0.1040535449370576,0.9114531955655316,,,0.06749965567834816,0.8557069810709216,,,0.04333222537876916,0.8206587762008017
,,0.514050745453389,3.3581516072664157,,,0.5171017395821542,2.1380984646244143,2.8622797585565087,-0.5089628505170577,0.45058897564823536,1.6433067994830808,0.9280723843812807,-0.012343325737140321,0.3441809004739651,1.304529716278797,0.3964559469962794,0.3864756846340232,0.243398201652332,1.0848014273257471,0.24817944389691385,0.3985448766872506,0.16452903889555245,0.9458666427170352,0.41677846888505937,-1.608446715018224,0.10827848792432025,0.8587717536872784,,,0.07012011201444293,0.8042419842644664,,,0.0449646425874083,0.77005814652283
,,0.5178625694082507,3.356150777899376,,,0.5498071983269347,2.097848256405882,0.683484797983907,1.1883806822755025,0.4763680304019136,1.591893791653711,0.9084237544615533,-0.019328982528438645,0.3614840357492418,1.250006851864418,0.40887503878623366,0.42377024495443993,0.25429247355018436,1.0309136265206926,0.512732839589663,-0.8851342806716677,0.17125131740223448,0.8936595626240895,0.38848704912871806,-1.531832513279511,0.11241891360503689,0.8081822122077168,,,0.07268137642119676,0.754902844140887,,,0.04655747141359085,0.7216006619770523
,,0.5217892525593791,3.3543866777924167,,,0.5831948180393968,2.0587978141792287,3.2476405279772687,-0.5812170773056234,0.5023995852054076,1.5417651020953622,0.9195951760087551,-0.09921913699274927,0.37877419656256756,1.196995811875513,0.7846408973051461,-0.7608597011732432,0.2650898608363872,0.9787272632202159,0.4837195680770559,-0.8391756586783816,0.1778754488607351,0.8432670748797355,0.36415062805594856,-1.4614766549852707,0.11648310316258008,0.7594664113860884,,,0.07518911852482929,0.7074670021995001,,,0.048114471184507915,0.6750612581889736
,,0.5258166979844853,3.3528656463439312,,,0.617279482620739,2.0208792977055623,0.6527593925082542,1.2893633986023263,0.5287036434351816,1.4927940278800045,0.8091215273498714,0.14237215413759527,0.3960694477808696,1.145337239943315,0.371241597843287,0.44132094374987146,0.275805316615317,0.928064154410985,0.22952970325804087,0.48555005353132924,0.1844127604877693,0.7945001766290556,0.3223722863900137,-1.3311864046655848,0.12047906694477242,0.7124293313858792,,,0.07764875687051152,0.6617361405389569,,,0.04963920921098023,0.6302397938056457
,,0.5299304836983086,3.3515932589238515,,,0.6520818274600122,1.9840313064847648,3.749281103320809,-0.5987513186352995,0.5553040159886674,1.444863059063793,0.8396978949068589,0.1656629750204169,0.41338938137687264,1.0948846540906005,0.38374082382669755,0.4788188396660919,0.2864540977109472,0.8787621727250857,0.23602453832258477,0.5191562746843882,0.1908744188244347,0.7471881650132732,0.30383212525978265,-1.2716002175116328,0.12441455084866887,0.6668956991390557,,,0.08006547290488827,0.6175325871488336,,,0.05113507404641605,0.5869573265578475
,,0.5341158944841715,3.3505743126351986,,,0.6876279848256224,1.9481986048561855,0.6041220584104876,1.3790347814245223,0.5822281147106982,1.397862759432485,0.9971456002467728,-0.06121470862324516,0.4307549829892247,1.0455026835393897,0.8746919732571015,-0.9162639575209226,0.2970517146645003,0.8306729926254548,0.5232863109209127,-1.0297274628318034,0.197271428179694,0.7011760273335457,,,0.12829705252565027,0.6227071367006586,,,0.08244422948352212,0.574696306897205,,,0.05260529083130845,0.5450530039710028
,,0.5383579541022447,3.349812812114997,,,0.7239494126427749,1.913331906720097,4.42771637858356,-0.4744500523169644,0.6095068350623748,1.3516907749840983,0.959228569870186,-0.0853226499310178,0.4481885571839694,0.9970655297801657,0.8117805131159416,-0.8763943799519995,0.3076139135001297,0.7836601526672133,0.20874513900061423,0.5692181602215574,0.2036146442747218,0.6563222193728796,,,0.1321338442846815,0.5797197489135157,,,0.08478979216426857,0.5330823661469858,,,0.054052937743084506,0.5043814500529311
,,0.542641458090046,3.349311955354851,,,0.761082798494964,1.8793877211521934,0.5233500468655167,1.4281927904879823,0.6371745176631556,1.3062509521108108,0.9172691036546152,-0.09527004733623018,0.465713701736708,0.9494556140012659,0.7553460225119627,-0.8343820230782613,0.31815668261181607,0.7375973779706643,0.21518385179724225,0.6034023082799236,0.20991479919709338,0.6124967614074699,,,0.135932000567964,0.5378020691444929,,,0.08710675214351225,0.4925587823215548,,,0.055480962928234,0.4648105543329263
,,0.546951007375962,3.349074119556413,,,0.7990700323129126,1.8463282608559628,5.167910123788555,-0.8243255064573857,0.6652689813140895,1.261452550147994,0.7900507371286332,0.2220064877765882,0.4833553239108846,0.902562379300001,0.3578161354090592,0.5344856537121713,0.3286962800106815,0.6923671172730823,0.5875500015693991,-1.2884110058055154,0.2161825349604491,0.5695795950377947,,,0.13969842857949322,0.4968332980159986,,,0.08939955010642187,0.4530046877114803,,,0.05689220153809777,0.4262195888180485
