Pt(L1742) X         Y         NF(dB)         GAIN(dB)       NFcorr(dB)     Gins(dB)       gams           angle          
669       2240      6300      17.99171       -3.71749       20.590307      -11.957822     0.57309        133.56989      
670       2304      6300      17.65918       -3.3834        20.248833      -11.62608      0.57357        129.88302      
671       2368      6300      17.42744       -3.1449        20.011143      -11.388184     0.57335        126.12888      
672       2432      6300      17.2307        -2.93008       19.811375      -11.175168     0.57302        122.38992      
673       2496      6300      16.91526       -2.62205       19.488464      -10.866612     0.57257        118.7432       
674       2560      6300      16.754         -2.41537       19.319168      -10.661145     0.57193        115.01832      
675       2624      6300      16.55245       -2.1514        19.110697      -10.398665     0.57117        111.295        
676       2688      6300      16.30751       -1.87059       18.859034      -10.120994     0.57058        107.63973      
677       2752      6300      16.02813       -1.57992       18.573717      -9.8284321     0.56942        103.87819      
678       2816      6300      15.72013       -1.23793       18.259604      -9.4869957     0.56814        100.16455      
679       2880      6300      15.47099       -0.96205       18.007103      -9.2133341     0.5667         96.52147       
680       2944      6300      15.04032       -0.53867       17.571859      -8.7908564     0.56497        92.77712       
681       3008      6300      14.78929       -0.21792       17.314617      -8.4737282     0.56382        89.04018       
682       3072      6300      14.36792       0.20535        16.888706      -8.0513163     0.56263        85.32365       
683       3136      6300      14.05324       0.5874         16.566605      -7.6715007     0.56047        81.59555       
684       3200      6300      13.65937       0.99224        16.170683      -7.2674832     0.55833        77.83504       
685       3264      6300      13.41183       1.29651        15.916862      -6.9625444     0.55632        74.10859       
686       3328      6300      12.99549       1.71968        15.501367      -6.5417786     0.55321        70.37848       
687       3392      6300      12.6398        2.09079        15.141836      -6.1686654     0.55093        66.6057        
688       3456      6300      12.33873       2.39801        14.841537      -5.8635025     0.54844        62.83757       
689       3520      6300      12.02284       2.72851        14.525998      -5.5344844     0.54565        59.07475       
690       3584      6300      11.77416       3.00723        14.274902      -5.2571425     0.54283        55.27698       
691       3648      6300      11.41733       3.32816        13.920519      -4.9362593     0.5399         51.47153       
692       3712      6300      11.18252       3.5375         13.68884       -4.7279739     0.53651        47.7017        
693       3776      6300      10.99226       3.66205        13.510678      -4.606771      0.53372        43.82134       
694       3840      6300      10.95519       3.69049        13.47647       -4.5799909     0.53119        39.97217       
695       3904      6300      10.83535       3.75976        13.362332      -4.5121851     0.52792        36.10999       
696       3968      6300      10.79569       3.71205        13.335716      -4.561944      0.52397        32.22383       
697       4032      6300      10.91314       3.56422        13.458039      -4.7101178     0.52103        28.27458       
698       4096      6300      10.99656       3.38839        13.551161      -4.8864717     0.51801        24.41027       
699       4160      6300      11.21501       3.14631        13.776334      -5.1313496     0.51458        20.45164       
700       4224      6300      11.347         2.90657        13.920559      -5.3712988     0.51195        16.46619       
701       4288      6300      11.59774       2.59925        14.182241      -5.6801858     0.50897        12.49313       
702       4352      6300      11.79521       2.30917        14.389935      -5.9691143     0.50549        8.47203        
703       4416      6300      12.10959       1.99168        14.707485      -6.2877169     0.5027         4.43479        
704       4480      6300      12.39531       1.63801        15.004519      -6.6432061     0.50029        0.40764        
705       4544      6300      12.78918       1.26006        15.404075      -7.0248985     0.49763        -3.68125       
706       4608      6300      13.02061       0.97153        15.641951      -7.3116603     0.49557        -7.77865       
707       4672      6300      13.30454       0.6641         15.93205       -7.620544      0.49371        -11.87112      
708       4736      6300      13.77196       0.20908        16.406687      -8.0747519     0.49107        -16.00929      
709       4800      6300      13.96346       -0.02281       16.602766      -8.3061361     0.48936        -20.16209      
710       4864      6300      14.24165       -0.30563       16.885704      -8.5905733     0.48791        -24.27381      
711       4928      6300      14.70006       -0.76009       17.352232      -9.0432768     0.48593        -28.44975      
712       4992      6300      14.90105       -0.98807       17.55851       -9.2711391     0.48527        -32.66422      
713       5056      6300      15.19249       -1.26457       17.856089      -9.5501547     0.48477        -36.8472       
714       5120      6300      15.40683       -1.52079       18.076677      -9.8057232     0.48398        -41.02813      
715       5184      6300      15.68442       -1.80221       18.359203      -10.084734     0.48327        -45.26264      
716       5248      6300      16.00193       -2.08283       18.680012      -10.365039     0.48341        -49.45625      
717       5312      6300      16.19328       -2.29641       18.877468      -10.577514     0.48333        -53.66062      
718       5376      6300      16.42541       -2.52511       19.112373      -10.80394      0.48374        -57.88614      
719       5440      6300      16.86903       -2.95662       19.57143       -11.238446     0.48462        -62.08415      
720       5504      6300      16.94585       -3.05076       19.647205      -11.327502     0.48501        -66.25033      
721       5568      6300      16.99101       -3.13909       19.698744      -11.417744     0.48578        -70.45227      
722       5632      6300      17.17541       -3.30397       19.88611       -11.581964     0.48718        -74.64005      
723       5696      6300      17.54337       -3.65163       20.260412      -11.926845     0.48866        -78.78228      
724       5760      6300      17.68294       -3.80667       20.404146      -12.079762     0.49025        -82.96711      
725       5824      6300      17.79584       -3.90815       20.517635      -12.179063     0.49286        -87.07688      
726       5888      6300      17.97009       -4.10532       20.697199      -12.373812     0.49469        -91.18958      
727       0         6357      18.45037       -4.64254       21.260462      -12.951385     0.54692        -92.4396       
728       60        6357      18.82907       -5.03227       21.652485      -13.340265     0.54834        -96.26939      
729       120       6357      19.03983       -5.23726       21.867016      -13.542395     0.55017        -100.07664     
730       180       6357      19.07765       -5.24978       21.901192      -13.55244      0.55264        -103.90127     
731       240       6357      19.23369       -5.41615       22.066175      -13.721117     0.55443        -107.74741     
732       300       6357      19.51461       -5.66836       22.348766      -13.970547     0.55667        -111.47247     
733       360       6357      19.24828       -5.46242       22.081297      -13.762734     0.55883        -115.28079     
734       420       6357      19.47979       -5.65701       22.31398       -13.955501     0.56104        -119.04453     
735       480       6357      19.62936       -5.79313       22.466536      -14.090122     0.56311        -122.74172     
736       540       6357      19.52084       -5.70366       22.356707      -13.999045     0.56527        -126.46187     
737       600       6357      19.61025       -5.79299       22.448166      -14.085057     0.56772        -130.18253     
738       660       6357      19.67716       -5.85636       22.516682      -14.146842     0.56979        -133.8723      
739       720       6357      19.70356       -5.85539       22.537436      -14.146028     0.57226        -137.54613     
740       780       6357      20.02388       -6.17044       22.865845      -14.458748     0.57462        -141.27426     
741       840       6357      19.83039       -5.98752       22.66116       -14.275209     0.57719        -144.95013     
742       900       6357      20.10256       -6.21306       22.935408      -14.500377     0.57907        -148.54744     
743       960       6357      19.90644       -6.00436       22.725748      -14.287732     0.58136        -152.2467      
744       1020      6357      19.83474       -5.9875        22.658537      -14.269727     0.58364        -155.87542     
745       1080      6357      20.27168       -6.35795       23.095016      -14.638406     0.58604        -159.46373     
746       1140      6357      19.83378       -5.93451       22.640488      -14.21346      0.58833        -163.08067     
747       1200      6357      19.76229       -5.87353       22.564486      -14.151436     0.59064        -166.70705     
748       1260      6357      19.86055       -5.95305       22.660255      -14.229657     0.59236        -170.30772     
749       1320      6357      19.86005       -5.94538       22.656813      -14.220813     0.59418        -173.8418      
750       1380      6357      19.80099       -5.84758       22.585564      -14.121248     0.59636        -177.44245     
751       1440      6357      19.71967       -5.76954       22.499386      -14.042381     0.59831        178.95325      
752       1500      6357      19.67498       -5.70123       22.446564      -13.974635     0.59999        175.4395       
753       1560      6357      19.54146       -5.54807       22.303795      -13.818899     0.60142        171.8662       
754       1620      6357      19.62679       -5.62886       22.387842      -13.898265     0.6029         168.29621      
755       1680      6357      19.52962       -5.51651       22.280405      -13.784669     0.60433        164.76847      
756       1740      6357      19.52489       -5.47453       22.26893       -13.744092     0.60553        161.23592      
757       1800      6357      19.45792       -5.39371       22.195894      -13.661495     0.60658        157.65991      
758       1860      6357      19.261         -5.18184       21.984032      -13.447386     0.60795        154.12658      
759       1920      6357      19.0123        -4.90473       21.722416      -13.169843     0.6088         150.60194      
760       1980      6357      18.93423       -4.83034       21.638887      -13.092731     0.60993        147.03149      
761       2040      6357      18.81798       -4.68175       21.513769      -12.943756     0.61069        143.49025      
762       2100      6357      18.88827       -4.66671       21.575165      -12.929517     0.61125        140.00806      
763       2160      6357      18.50216       -4.288         21.178896      -12.551482     0.61166        136.44948      
764       2220      6357      18.346         -4.14384       21.020788      -12.40908      0.61224        132.90877      
765       2280      6357      18.21797       -3.97477       20.884048      -12.238775     0.61238        129.41633      
766       2340      6357      17.92987       -3.66573       20.585972      -11.929529     0.61235        125.88315      
767       2400      6357      17.76748       -3.48227       20.417591      -11.747383     0.61255        122.33815      
768       2460      6357      17.51971       -3.19581       20.158922      -11.460427     0.61231        118.8494       
769       2520      6357      17.26652       -2.92444       19.900097      -11.191222     0.61187        115.34938      
770       2580      6357      16.98977       -2.62632       19.615751      -10.893749     0.61167        111.81526      
771       2640      6357      16.78896       -2.39322       19.409197      -10.660203     0.61102        108.28028      
772       2700      6357      16.59049       -2.16101       19.203932      -10.429801     0.61049        104.84343      
773       2760      6357      16.07768       -1.64531       18.681179      -9.9136047     0.6095         101.29942      
774       2820      6357      15.84466       -1.38013       18.444984      -9.649972      0.60851        97.7877        
775       2880      6357      15.55603       -1.03532       18.147871      -9.3067036     0.60763        94.32535       
776       2940      6357      15.2307        -0.68573       17.817728      -8.9596224     0.60661        90.79957       
777       3000      6357      14.78472       -0.24503       17.365009      -8.5160666     0.60532        87.25809       
778       3060      6357      14.58312       0.03773        17.160212      -8.2373028     0.6038         83.74882       
779       3120      6357      14.14098       0.49463        16.712097      -7.781054      0.60225        80.27982       
780       3180      6357      13.75168       0.88679        16.321095      -7.3885465     0.60058        76.70571       
781       3240      6357      13.5239        1.17288        16.090254      -7.1038547     0.59882        73.1805        
782       3300      6357      13.04949       1.67071        15.61018       -6.6066251     0.5968         69.69556       
783       3360      6357      12.6545        2.10253        15.214911      -6.1791611     0.59467        66.16024       
784       3420      6357      12.33269       2.45281        14.888996      -5.8290639     0.59263        62.58593       
785       3480      6357      12.00769       2.80125        14.564075      -5.4815288     0.59001        59.07176       
786       3540      6357      11.65973       3.15739        14.217932      -5.1273637     0.58727        55.52643       
787       3600      6357      11.33091       3.49217        13.889806      -4.7938752     0.58468        51.93606       
788       3660      6357      11.05329       3.75514        13.614638      -4.5333614     0.58232        48.381         
789       3720      6357      10.80826       3.94743        13.376083      -4.3418121     0.57978        44.8329        
790       3780      6357      10.64426       4.06924        13.21873       -4.2222524     0.57696        41.20218       
791       3840      6357      10.56499       4.09228        13.146499      -4.2008624     0.57445        37.61415       
792       3900      6357      10.49728       4.09327        13.08877       -4.2029028     0.57152        34.03485       
793       3960      6357      10.47675       4.01793        13.076019      -4.2773004     0.56882        30.38889       
794       4020      6357      10.5184        3.88968        13.129086      -4.4072657     0.5657         26.73859       
795       4080      6357      10.73681       3.6059         13.355996      -4.6911683     0.56328        23.11916       
796       4140      6357      10.91375       3.3706         13.544051      -4.9296365     0.5601         19.41612       
797       4200      6357      11.08132       3.0963         13.721933      -5.2025704     0.55732        15.71548       
798       4260      6357      11.38591       2.74676        14.037693      -5.55551       0.55464        12.03614       
799       4320      6357      11.70678       2.38875        14.368482      -5.9155874     0.55163        8.34398        
800       4380      6357      12.02309       2.01433        14.693043      -6.2889695     0.54891        4.57487        
801       4440      6357      12.37158       1.61267        15.053044      -6.6940336     0.54652        0.81866        
802       4500      6357      12.55272       1.39515        15.236469      -6.9113975     0.54388        -2.90993       
803       4560      6357      13.00839       0.92481        15.699441      -7.3812313     0.54151        -6.70695       
804       4620      6357      13.36671       0.55275        16.060425      -7.7516007     0.53992        -10.50829      
805       4680      6357      13.54719       0.30362        16.253393      -8.0047607     0.53793        -14.27922      
806       4740      6357      13.99197       -0.11874       16.700207      -8.4243088     0.53578        -18.12454      
807       4800      6357      14.33303       -0.45474       17.048199      -8.7625008     0.53413        -21.9412       
808       4860      6357      14.64358       -0.77258       17.363613      -9.0803137     0.53265        -25.77561      
809       4920      6357      14.95394       -1.10392       17.68338       -9.4140911     0.53099        -29.62771      
810       4980      6357      15.2142        -1.3559        17.943678      -9.6646175     0.5301         -33.50889      
811       5040      6357      15.46369       -1.61678       18.199722      -9.9269848     0.52944        -37.39285      
812       5100      6357      15.71301       -1.87479       18.453833      -10.184538     0.52849        -41.24942      
813       5160      6357      15.99093       -2.17543       18.740658      -10.482577     0.52768        -45.14032      
814       5220      6357      16.32587       -2.48791       19.082912      -10.797332     0.52766        -49.03603      
815       5280      6357      16.66259       -2.82279       19.426802      -11.127882     0.52725        -52.88099      
816       5340      6357      16.78358       -2.94049       19.548151      -11.244362     0.52684        -56.80981      
817       5400      6357      16.93296       -3.09753       19.6982        -11.399583     0.52739        -60.70438      
818       5460      6357      17.19693       -3.3556        19.972589      -11.658398     0.52777        -64.56048      
819       5520      6357      17.36852       -3.54745       20.152744      -11.850777     0.52801        -68.44372      
820       5580      6357      17.49963       -3.68146       20.284067      -11.983223     0.52906        -72.32237      
821       5640      6357      17.78934       -3.97074       20.582104      -12.271713     0.53017        -76.19873      
822       5700      6357      17.79595       -3.97849       20.588743      -12.279406     0.531          -80.06461      
823       5760      6357      18.1704        -4.33226       20.970726      -12.633319     0.53264        -83.91266      
824       5820      6357      18.3348        -4.51526       21.138029      -12.8105       0.53462        -87.75248      
825       5880      6357      18.55321       -4.72076       21.360216      -13.014515     0.53657        -91.54685      
826       0         6411      18.9814        -5.24956       21.88644       -13.595757     0.5885         -93.52939      
827       57        6411      19.36294       -5.62772       22.278946      -13.971049     0.58969        -97.1341       
828       114       6411      19.31151       -5.5747        22.222416      -13.915612     0.59099        -100.72782     
829       171       6411      19.35452       -5.62367       22.268181      -13.963288     0.59241        -104.3787      
830       228       6411      19.38775       -5.64514       22.29941       -13.984709     0.59429        -107.99264     
831       285       6411      19.40084       -5.64749       22.306749      -13.983293     0.5962         -111.57524     
832       342       6411      19.68943       -5.92053       22.603363      -14.254048     0.59782        -115.16568     
833       399       6411      19.8651        -6.09278       22.782194      -14.423125     0.59985        -118.76086     
834       456       6411      19.80406       -6.02397       22.717119      -14.35428      0.60188        -122.32198     
835       513       6411      19.99575       -6.24666       22.91868       -14.575119     0.60402        -125.85103     
836       570       6411      20.13518       -6.34867       23.055658      -14.67457      0.60612        -129.41744     
837       627       6411      20.37512       -6.56773       23.297642      -14.891134     0.60801        -132.95632     
838       684       6411      20.31254       -6.49388       23.230026      -14.81786      0.61006        -136.42049     
839       741       6411      20.17756       -6.40267       23.094557      -14.724877     0.61223        -139.95129     
840       798       6411      20.27204       -6.49468       23.190203      -14.81425      0.61458        -143.4693      
841       855       6411      20.41102       -6.61761       23.328545      -14.935195     0.61664        -146.96072     
842       912       6411      20.29637       -6.48685       23.203518      -14.800524     0.61829        -150.42561     
843       969       6411      20.61593       -6.77508       23.525284      -15.088217     0.62064        -153.915       
844       1026      6411      20.33534       -6.50337       23.232769      -14.81463      0.62289        -157.39416     
845       1083      6411      20.49229       -6.66279       23.392759      -14.97295      0.62457        -160.82081     
846       1140      6411      20.52918       -6.66533       23.423582      -14.974362     0.62614        -164.26938     
847       1197      6411      20.35995       -6.52325       23.250011      -14.832078     0.62825        -167.74342     
848       1254      6411      20.69436       -6.80785       23.584824      -15.114486     0.63033        -171.16316     
849       1311      6411      20.38668       -6.52937       23.267193      -14.832911     0.63203        -174.56852     
850       1368      6411      20.32781       -6.41196       23.194927      -14.715744     0.63373        -178.02561     
851       1425      6411      20.22311       -6.34375       23.088181      -14.646534     0.63541        178.54366      
852       1482      6411      20.21823       -6.31481       23.07509       -14.614961     0.63695        175.15476      
853       1539      6411      20.20356       -6.26408       23.05131       -14.56433      0.63848        171.73388      
854       1596      6411      19.99648       -6.01988       22.830873      -14.320857     0.6399         168.31611      
855       1653      6411      20.01575       -6.04453       22.847885      -14.343287     0.64124        164.91157      
856       1710      6411      19.90164       -5.90503       22.722277      -14.202094     0.64247        161.54144      
857       1767      6411      20.02286       -6.00701       22.842703      -14.302749     0.64364        158.09478      
858       1824      6411      19.55214       -5.53269       22.355686      -13.829627     0.64486        154.69948      
859       1881      6411      19.64494       -5.60783       22.447731      -13.90454      0.6456         151.34606      
860       1938      6411      19.5519        -5.48332       22.341824      -13.778003     0.64661        147.93624      
861       1995      6411      19.46905       -5.36546       22.250118      -13.660387     0.64748        144.53741      
862       2052      6411      19.17975       -5.07547       21.951534      -13.368583     0.64818        141.1487       
863       2109      6411      19.1182        -4.98927       21.882685      -13.282441     0.649          137.79873      
864       2166      6411      19.1089        -4.93369       21.867392      -13.225955     0.64943        134.36332      
865       2223      6411      18.57349       -4.4179        21.318581      -12.711386     0.64968        131.00451      
866       2280      6411      18.368         -4.18051       21.102518      -12.473966     0.65019        127.64469      
867       2337      6411      18.43721       -4.17597       21.166842      -12.470428     0.6504         124.25493      
868       2394      6411      18.05223       -3.8012        20.773613      -12.095238     0.65055        120.85468      
869       2451      6411      17.82666       -3.54552       20.539194      -11.839286     0.65062        117.49095      
870       2508      6411      17.43434       -3.11655       20.133539      -11.41228      0.65022        114.15654      
871       2565      6411      17.3735        -3.05526       20.074741      -11.352347     0.64999        110.76124      
872       2622      6411      17.00108       -2.65188       19.691914      -10.950202     0.64962        107.41092      
873       2679      6411      16.79099       -2.39529       19.474649      -10.69447      0.64912        104.09574      
874       2736      6411      16.42813       -2.03048       19.106848      -10.33033      0.64845        100.7206       
875       2793      6411      16.20439       -1.73999       18.87417       -10.042143     0.64792        97.3195        
876       2850      6411      15.981         -1.50011       18.64983       -9.8048515     0.64762        93.96046       
877       2907      6411      15.57882       -1.06135       18.241035      -9.3681583     0.64644        90.64143       
878       2964      6411      15.12552       -0.59413       17.779369      -8.9011517     0.64534        87.25908       
879       3021      6411      14.82989       -0.25193       17.481731      -8.5601959     0.64407        83.89023       
880       3078      6411      14.42705       0.19867        17.071377      -8.1109591     0.64312        80.56964       
881       3135      6411      14.12783       0.56779        16.766476      -7.7465649     0.64197        77.17857       
882       3192      6411      13.76725       0.96732        16.398682      -7.3429437     0.64066        73.78971       
883       3249      6411      13.28937       1.4715         15.919348      -6.840538      0.63881        70.45402       
884       3306      6411      12.93054       1.85414        15.560987      -6.4620891     0.63701        67.11403       
885       3363      6411      12.50223       2.28238        15.132845      -6.0346351     0.63474        63.75876       
886       3420      6411      12.0974        2.72231        14.728402      -5.5980482     0.63269        60.35158       
887       3477      6411      11.72654       3.12438        14.350348      -5.1943021     0.6309         57.02524       
888       3534      6411      11.30215       3.5344         13.930726      -4.7875686     0.6286         53.63177       
889       3591      6411      10.979         3.8567         13.60858       -4.4675369     0.6268         50.21373       
890       3648      6411      10.71981       4.15198        13.352475      -4.1768312     0.62455        46.84689       
891       3705      6411      10.547         4.28802        13.183814      -4.0433187     0.62219        43.47443       
892       3762      6411      10.38473       4.41613        13.028184      -3.9194462     0.61957        40.05212       
893       3819      6411      10.24845       4.46417        12.900108      -3.8699479     0.61747        36.6231        
894       3876      6411      10.20702       4.42196        12.869815      -3.9135566     0.61547        33.20078       
895       3933      6411      10.22472       4.30875        12.898958      -4.0302606     0.61262        29.77587       
896       3990      6411      10.37707       4.06245        13.061632      -4.276876      0.61033        26.29375       
897       4047      6411      10.47735       3.85237        13.173583      -4.4892879     0.60796        22.85021       
898       4104      6411      10.64786       3.57805        13.35628       -4.7598753     0.60475        19.43168       
899       4161      6411      10.94808       3.22665        13.665459      -5.1196289     0.60213        15.94471       
900       4218      6411      11.23882       2.85042        13.968187      -5.4959579     0.59984        12.4622        
901       4275      6411      11.52131       2.50909        14.257717      -5.8382545     0.59744        9.00132        
902       4332      6411      11.83894       2.12103        14.587196      -6.2268782     0.59444        5.48943        
903       4389      6411      12.31515       1.66387        15.066993      -6.6853776     0.59247        1.93779        
904       4446      6411      12.61806       1.26798        15.383511      -7.0807629     0.59024        -1.57089       
905       4503      6411      12.87642       0.99135        15.64187       -7.3575759     0.5878         -5.10081       
906       4560      6411      13.35601       0.51414        16.130383      -7.8360872     0.58512        -8.65207       
907       4617      6411      13.645         0.17755        16.428953      -8.1715221     0.58341        -12.24843      
908       4674      6411      13.97782       -0.15404       16.764463      -8.502162      0.58206        -15.7925       
909       4731      6411      14.27843       -0.4568        17.068041      -8.8054934     0.58003        -19.38589      
910       4788      6411      14.68747       -0.86957       17.484882      -9.2170849     0.57851        -23.02126      
911       4845      6411      14.99521       -1.20886       17.803049      -9.5581369     0.5774         -26.58924      
912       4902      6411      15.23257       -1.45541       18.043798      -9.8049164     0.57562        -30.18646      
913       4959      6411      15.42312       -1.6996        18.241932      -10.04429      0.57373        -33.79923      
914       5016      6411      15.84627       -2.06075       18.664303      -10.403357     0.57303        -37.44657      
915       5073      6411      15.99261       -2.26766       18.823664      -10.614485     0.57219        -41.07866      
916       5130      6411      16.31914       -2.56385       19.152794      -10.911439     0.57137        -44.72308      
917       5187      6411      16.62249       -2.87451       19.464321      -11.216777     0.57082        -48.36642      
918       5244      6411      16.83568       -3.09677       19.684652      -11.441566     0.57093        -52.02898      
919       5301      6411      17.09288       -3.33737       19.94416       -11.681627     0.5703         -55.67488      
920       5358      6411      17.43246       -3.6847        20.293461      -12.025969     0.56974        -59.33791      
921       5415      6411      17.40211       -3.66224       20.262671      -12.002262     0.57052        -62.98652      
922       5472      6411      17.7078        -3.96363       20.576046      -12.302551     0.57108        -66.62537      
923       5529      6411      17.93026       -4.17344       20.804367      -12.515129     0.57124        -70.30478      
924       5586      6411      17.99333       -4.25884       20.872921      -12.601524     0.57224        -73.94606      
925       5643      6411      18.33479       -4.57218       21.221155      -12.912483     0.57315        -77.5696       
926       5700      6411      18.47655       -4.7163        21.364201      -13.054497     0.57395        -81.22047      
927       5757      6411      18.72564       -5.00826       21.625853      -13.342699     0.57466        -84.88223      
928       5814      6411      18.79028       -5.05049       21.687809      -13.383537     0.57649        -88.49995      
929       5871      6411      18.88613       -5.12991       21.78533       -13.461886     0.57801        -92.10877      
930       0         6465      19.56838       -5.92218       22.599079      -14.315395     0.63111        -94.9444       
931       54        6465      19.74045       -6.0827        22.774176      -14.47534      0.63174        -98.35245      
932       108       6465      19.99298       -6.33616       23.035545      -14.726074     0.63306        -101.73375     
933       162       6465      20.22082       -6.52913       23.263451      -14.915549     0.63438        -105.21973     
934       216       6465      20.00405       -6.36611       23.046942      -14.752569     0.6361         -108.66239     
935       270       6465      20.19021       -6.51673       23.232969      -14.899724     0.63746        -112.03745     
936       324       6465      20.11809       -6.46453       23.158283      -14.846331     0.63911        -115.40274     
937       378       6465      20.24831       -6.58484       23.290253      -14.961798     0.64073        -118.81779     
938       432       6465      20.50499       -6.82133       23.551233      -15.197416     0.6424         -122.22473     
939       486       6465      20.69884       -6.99943       23.749378      -15.374967     0.64389        -125.54226     
940       540       6465      20.62409       -6.93955       23.672426      -15.311474     0.64561        -128.91881     
941       594       6465      20.70486       -7.01314       23.751476      -15.380661     0.64771        -132.29392     
942       648       6465      20.89928       -7.20003       23.950619      -15.566766     0.64938        -135.65231     
943       702       6465      20.98253       -7.2746        24.0341        -15.637238     0.65086        -138.94407     
944       756       6465      20.80571       -7.11422       23.851147      -15.477824     0.65286        -142.30353     
945       810       6465      20.90164       -7.2015        23.946999      -15.562333     0.65465        -145.6458      
946       864       6465      20.938         -7.21459       23.975414      -15.572306     0.65649        -148.96171     
947       918       6465      20.86945       -7.13459       23.901766      -15.493451     0.65814        -152.2398      
948       972       6465      20.97048       -7.22253       24.000359      -15.576985     0.66006        -155.57768     
949       1026      6465      20.89082       -7.15273       23.915998      -15.506801     0.66178        -158.87991     
950       1080      6465      20.97521       -7.21309       23.997871      -15.564863     0.66354        -162.14583     
951       1134      6465      21.3569        -7.56019       24.382566      -15.907229     0.66529        -165.43536     
952       1188      6465      21.18882       -7.39721       24.205786      -15.743293     0.66727        -168.74621     
953       1242      6465      21.02178       -7.21673       24.026791      -15.562283     0.66894        -172.03423     
954       1296      6465      20.9593        -7.1803        23.963127      -15.523881     0.67048        -175.27705     
955       1350      6465      20.79274       -6.97483       23.782753      -15.316624     0.67193        -178.55574     
956       1404      6465      20.95981       -7.13042       23.94821       -15.469515     0.67355        178.14294      
957       1458      6465      20.9033        -7.05992       23.887136      -15.398458     0.67479        174.8943       
958       1512      6465      20.57613       -6.71195       23.541712      -15.049002     0.6762         171.66721      
959       1566      6465      20.45416       -6.62168       23.41589       -14.957071     0.67761        168.37737      
960       1620      6465      20.65186       -6.74707       23.609144      -15.083004     0.67888        165.11969      
961       1674      6465      20.51396       -6.62338       23.463448      -14.958125     0.6801         161.87524      
962       1728      6465      21.06919       -7.11241       24.026957      -15.447121     0.68097        158.65204      
963       1782      6465      20.1401        -6.20385       23.068289      -14.536617     0.68203        155.3937       
964       1836      6465      20.29801       -6.3625        23.224371      -14.692337     0.68331        152.11653      
965       1890      6465      20.15994       -6.19975       23.078781      -14.529839     0.68395        148.92871      
966       1944      6465      20.16211       -6.17131       23.079109      -14.502841     0.68466        145.66529      
967       1998      6465      19.81341       -5.78258       22.706772      -14.109834     0.686          142.39283      
968       2052      6465      19.51777       -5.50551       22.407122      -13.835336     0.68645        139.15032      
969       2106      6465      19.31995       -5.26743       22.192535      -13.595622     0.68734        135.96641      
970       2160      6465      19.16218       -5.13403       22.039057      -13.465072     0.6876         132.68654      
971       2214      6465      19.39487       -5.25853       22.25979       -13.587394     0.68828        129.44468      
972       2268      6465      18.95634       -4.83013       21.807589      -13.159732     0.68892        126.23147      
973       2322      6465      18.82714       -4.64946       21.671135      -12.977903     0.68899        123.01867      
974       2376      6465      18.48762       -4.30827       21.323448      -12.639794     0.68922        119.76638      
975       2430      6465      18.43223       -4.21954       21.265644      -12.55228      0.68931        116.52247      
976       2484      6465      18.07432       -3.84694       20.893257      -12.177862     0.68955        113.34445      
977       2538      6465      17.74627       -3.5052        20.556747      -11.836128     0.68937        110.12754      
978       2592      6465      17.54917       -3.25274       20.350138      -11.586501     0.68941        106.88807      
979       2646      6465      17.22367       -2.95015       20.023464      -11.283309     0.68918        103.68623      
980       2700      6465      17.09287       -2.75285       19.888126      -11.088181     0.68861        100.53228      
981       2754      6465      16.67092       -2.29213       19.45549       -10.627787     0.6881         97.31691       
982       2808      6465      16.18236       -1.80391       18.959749      -10.141899     0.68754        94.0886        
983       2862      6465      16.03023       -1.61178       18.807669      -9.9505186     0.68677        90.90554       
984       2916      6465      15.64289       -1.17973       18.413305      -9.5196228     0.68604        87.75765       
985       2970      6465      15.32153       -0.80865       18.086758      -9.149436      0.68529        84.50861       
986       3024      6465      14.88109       -0.3466        17.641911      -8.6884155     0.68438        81.29512       
987       3078      6465      14.57879       0.00675        17.336063      -8.3374557     0.68324        78.10884       
988       3132      6465      14.18154       0.44695        16.934872      -7.8986087     0.6819         74.91845       
989       3186      6465      13.64367       1.02747        16.389765      -7.3207145     0.68076        71.7021        
990       3240      6465      13.26689       1.44399        16.012051      -6.9037366     0.67946        68.49037       
991       3294      6465      12.84866       1.92645        15.586328      -6.4247384     0.67823        65.33207       
992       3348      6465      12.47761       2.35298        15.212446      -6.0004787     0.67673        62.09102       
993       3402      6465      12.05086       2.81729        14.786077      -5.5400481     0.67508        58.86246       
994       3456      6465      11.5568        3.32724        14.294589      -5.0353312     0.67311        55.66939       
995       3510      6465      11.24058       3.6892         13.972052      -4.6721125     0.67155        52.48996       
996       3564      6465      10.80208       4.10491        13.53839       -4.2589874     0.66955        49.27363       
997       3618      6465      10.52012       4.39513        13.253634      -3.9678981     0.66788        46.03002       
998       3672      6465      10.24704       4.60214        12.990608      -3.7648187     0.66592        42.82888       
999       3726      6465      10.01682       4.79792        12.764024      -3.5691435     0.66361        39.65303       
1000      3780      6465      9.87407        4.87143        12.626804      -3.4978383     0.66173        36.38563       
1001      3834      6465      9.80544        4.80969        12.577255      -3.5614526     0.65951        33.15859       
1002      3888      6465      9.83551        4.6477         12.620008      -3.7240698     0.65778        29.94316       
1003      3942      6465      9.88872        4.46702        12.696044      -3.9100461     0.65469        26.72288       
1004      3996      6465      10.14872       4.11617        12.972006      -4.2643609     0.65244        23.4306        
1005      4050      6465      10.33954       3.80836        13.177525      -4.5730681     0.65009        20.19139       
