Pt(L1742) X         Y         NF(dB)         GAIN(dB)       NFcorr(dB)     Gins(dB)       gams           angle          
143       2205      5680      15.80168       -1.39787       18.175186      -9.5663548     0.25814        146.04113      
144       2352      5680      15.61813       -1.16674       17.980656      -9.3335371     0.2566         138.9017       
145       2499      5680      15.48362       -1.00342       17.841162      -9.1702366     0.25396        131.73841      
146       2646      5680      15.15712       -0.67728       17.509853      -8.8462343     0.25048        124.51347      
147       2793      5680      14.93746       -0.44762       17.288073      -8.6183977     0.24622        117.18934      
148       2940      5680      14.6042        -0.11557       16.94964       -8.2869825     0.24125        109.83277      
149       3087      5680      14.4635        0.03958        16.806952      -8.1303263     0.235          102.33563      
150       3234      5680      14.22514       0.29361        16.565908      -7.8777404     0.2283         94.67048       
151       3381      5680      13.96052       0.59519        16.294624      -7.5768104     0.22015        86.89308       
152       3528      5680      13.81447       0.74316        16.150339      -7.4302564     0.21158        78.87203       
153       3675      5680      13.54394       0.97784        15.883003      -7.1981711     0.20333        70.47187       
154       3822      5680      13.43257       1.06552        15.773523      -7.1089282     0.19414        61.75925       
155       3969      5680      13.43926       1.06458        15.783197      -7.1108379     0.18515        52.70195       
156       4116      5680      13.39809       1.08089        15.746282      -7.0954714     0.17625        43.11028       
157       4263      5680      13.45071       0.99747        15.804881      -7.1787195     0.168          33.07444       
158       4410      5680      13.52549       0.88113        15.887238      -7.2956524     0.16007        22.41143       
159       4557      5680      13.6971        0.723          16.06163       -7.4549017     0.15324        11.1544        
160       4704      5680      13.70536       0.64195        16.077248      -7.5357547     0.14806        -0.65125       
161       4851      5680      13.96312       0.36489        16.341866      -7.8117962     0.14499        -12.94925      
162       4998      5680      14.31533       0.02529        16.699947      -8.1511784     0.14321        -25.48438      
163       5145      5680      14.27087       -0.02424       16.663685      -8.2014036     0.14372        -38.0224       
164       5292      5680      14.6396        -0.34932       17.032505      -8.5246        0.14682        -50.4441       
165       5439      5680      14.90145       -0.61663       17.299944      -8.7918196     0.1511         -62.43759      
166       5586      5680      15.20431       -0.94579       17.611504      -9.1193523     0.15694        -73.93281      
167       5733      5680      15.38659       -1.12768       17.79768       -9.3025045     0.16388        -84.75203      
168       5880      5680      15.54843       -1.29954       17.963301      -9.4744081     0.17192        -95.13746      
169       0         5789      15.85585       -1.69548       18.303867      -9.8786135     0.21755        -92.72919      
170       125       5789      16.0163        -1.85564       18.465742      -10.037898     0.22442        -101.0556      
171       250       5789      16.04995       -1.88989       18.495424      -10.070139     0.23186        -109.15511     
172       375       5789      16.32047       -2.14528       18.769133      -10.324374     0.23892        -116.96614     
173       500       5789      16.49631       -2.32428       18.948404      -10.503054     0.24616        -124.4644      
174       625       5789      16.60505       -2.42366       19.055967      -10.600902     0.2532         -131.84238     
175       750       5789      16.71197       -2.55407       19.166283      -10.729424     0.25971        -138.95505     
176       875       5789      16.61672       -2.47211       19.068413      -10.64867      0.2662         -145.99683     
177       1000      5789      16.76721       -2.58129       19.2141        -10.75651      0.27243        -152.83076     
178       1125      5789      16.71549       -2.51428       19.155064      -10.688181     0.27773        -159.53722     
179       1250      5789      16.64077       -2.43463       19.074953      -10.607256     0.28237        -166.22325     
180       1375      5789      16.72806       -2.46169       19.154678      -10.634485     0.28671        -172.71731     
181       1500      5789      16.62468       -2.40538       19.054214      -10.578115     0.29033        -179.15612     
182       1625      5789      16.71755       -2.43851       19.139439      -10.609084     0.29318        174.35909      
183       1750      5789      16.49044       -2.22225       18.906395      -10.393685     0.29548        167.97337      
184       1875      5789      16.43033       -2.13321       18.840263      -10.303815     0.29686        161.62593      
185       2000      5789      16.33393       -2.01742       18.737988      -10.18792      0.29782        155.25734      
186       2125      5789      16.14936       -1.80368       18.544971      -9.9742174     0.29772        148.99794      
187       2250      5789      16.06903       -1.67105       18.458858      -9.8438921     0.29708        142.60263      
188       2375      5789      15.77431       -1.39388       18.15996       -9.566762      0.29552        136.27567      
189       2500      5789      15.52001       -1.10838       17.896263      -9.2814741     0.29354        129.93527      
190       2625      5789      15.36831       -0.92279       17.738783      -9.0957117     0.29084        123.49808      
191       2750      5789      15.09254       -0.6354        17.458345      -8.8095245     0.2874         117.1313       
192       2875      5789      14.76246       -0.28507       17.121313      -8.4603472     0.28319        110.66917      
193       3000      5789      14.52321       -0.04109       16.87982       -8.2165937     0.27846        104.07546      
194       3125      5789      14.37158       0.14445        16.725384      -8.0316601     0.27305        97.48414       
195       3250      5789      14.08023       0.42536        16.432589      -7.7509594     0.26699        90.74603       
196       3375      5789      13.7938        0.73278        16.143219      -7.4465246     0.2606         83.85841       
197       3500      5789      13.6368        0.89108        15.986385      -7.287353      0.25349        76.8962        
198       3625      5789      13.40132       1.12028        15.749562      -7.0589199     0.24643        69.63409       
199       3750      5789      13.25757       1.24274        15.610617      -6.9382181     0.23863        62.31162       
200       3875      5789      13.11476       1.37723        15.468466      -6.8045502     0.23135        54.72521       
201       4000      5789      13.06829       1.38221        15.428394      -6.8000188     0.22375        46.80505       
202       4125      5789      13.03242       1.3821         15.396636      -6.7991977     0.21636        38.67757       
203       4250      5789      13.1073        1.3335         15.472315      -6.8501968     0.20953        30.28823       
204       4375      5789      13.15593       1.20643        15.534411      -6.9794536     0.20252        21.57812       
205       4500      5789      13.33068       1.00071        15.716205      -7.1848092     0.19679        12.58706       
206       4625      5789      13.50634       0.82694        15.893396      -7.3575897     0.19191        3.1465         
207       4750      5789      13.69341       0.63206        16.08329       -7.5520883     0.18812        -6.48801       
208       4875      5789      13.99049       0.31546        16.388359      -7.8679843     0.18577        -16.23103      
209       5000      5789      14.16112       0.08476        16.568964      -8.098876      0.18456        -26.20256      
210       5125      5789      14.36486       -0.11737       16.774708      -8.300663      0.18474        -36.0909       
211       5250      5789      14.68458       -0.43889       17.100542      -8.6214218     0.18635        -46.0336       
212       5375      5789      14.76823       -0.58855       17.191441      -8.7704449     0.18897        -55.74188      
213       5500      5789      15.15335       -0.94748       17.581818      -9.1290283     0.19301        -65.26946      
214       5625      5789      15.34472       -1.1357        17.775402      -9.3170843     0.1981         -74.50589      
215       5750      5789      15.47092       -1.29762       17.906687      -9.4780703     0.20393        -83.46105      
216       5875      5789      15.70044       -1.51693       18.137613      -9.6952848     0.21034        -92.07739      
217       0         5884      16.02507       -1.91507       18.497135      -10.105537     0.25798        -91.1883       
218       111       5884      16.20983       -2.09992       18.685783      -10.291141     0.26364        -98.54563      
219       222       5884      16.37779       -2.29867       18.858349      -10.486793     0.26975        -105.72829     
220       333       5884      16.57822       -2.45326       19.055969      -10.641201     0.27583        -112.74951     
221       444       5884      16.64503       -2.52893       19.121737      -10.714367     0.28207        -119.66066     
222       555       5884      16.92235       -2.79395       19.405266      -10.980241     0.28814        -126.3385      
223       666       5884      16.76193       -2.64905       19.236498      -10.833        0.29433        -132.89371     
224       777       5884      17.03578       -2.88062       19.510124      -11.062926     0.30054        -139.3446      
225       888       5884      16.89554       -2.74116       19.362906      -10.922602     0.30592        -145.62505     
226       999       5884      17.13039       -2.94077       19.600124      -11.124033     0.3111         -151.92956     
227       1110      5884      17.11169       -2.94175       19.57962       -11.12374      0.31594        -158.07884     
228       1221      5884      16.92198       -2.75125       19.379482      -10.931119     0.32034        -164.14435     
229       1332      5884      17.10921       -2.90764       19.566578      -11.086938     0.3245         -170.12203     
230       1443      5884      16.97347       -2.77536       19.425558      -10.954414     0.32791        -176.11668     
231       1554      5884      17.05773       -2.78385       19.498329      -10.960913     0.3313         177.99695      
232       1665      5884      16.93447       -2.68929       19.376047      -10.867178     0.33354        172.15157      
233       1776      5884      16.73567       -2.4959        19.169971      -10.672728     0.33518        166.26003      
234       1887      5884      16.86117       -2.55378       19.2901        -10.730779     0.3366         160.45028      
235       1998      5884      16.56353       -2.24753       18.981083      -10.423877     0.33747        154.61188      
236       2109      5884      16.37389       -2.05792       18.787474      -10.235142     0.33776        148.82487      
237       2220      5884      16.26507       -1.88757       18.669561      -10.064848     0.33715        142.99547      
238       2331      5884      16.21204       -1.83666       18.616577      -10.013682     0.33618        137.20539      
239       2442      5884      15.77861       -1.3926        18.171871      -9.5698347     0.33478        131.3692       
240       2553      5884      15.61601       -1.19944       18.004139      -9.3778019     0.33263        125.54032      
241       2664      5884      15.3545        -0.92267       17.736443      -9.1022959     0.33017        119.68107      
242       2775      5884      15.16423       -0.69992       17.542364      -8.8811035     0.32697        113.79507      
243       2886      5884      14.79966       -0.32862       17.172348      -8.511591      0.32358        107.88007      
244       2997      5884      14.52948       -0.04074       16.897963      -8.2240105     0.31917        101.89311      
245       3108      5884      14.28187       0.2396         16.642368      -7.942111      0.31468        95.91856       
246       3219      5884      14.04682       0.48863        16.4077        -7.6953692     0.30978        89.74504       
247       3330      5884      13.77053       0.77387        16.129082      -7.4108233     0.3041         83.61137       
248       3441      5884      13.55074       1.01604        15.906751      -7.1691346     0.29792        77.32216       
249       3552      5884      13.24815       1.27759        15.606436      -6.9075785     0.29141        71.01276       
250       3663      5884      13.08381       1.4549         15.442214      -6.7319784     0.28525        64.48955       
251       3774      5884      12.96024       1.54284        15.325779      -6.6461606     0.27873        57.82507       
252       3885      5884      12.80487       1.67493        15.172699      -6.5145183     0.27204        51.04555       
253       3996      5884      12.77607       1.69312        15.147367      -6.4969497     0.26535        44.05601       
254       4107      5884      12.78988       1.65981        15.166542      -6.5322127     0.25919        36.96228       
255       4218      5884      12.72914       1.67155        15.109802      -6.5200438     0.25286        29.61568       
256       4329      5884      12.92962       1.45735        15.317137      -6.7345114     0.24667        22.1387        
257       4440      5884      13.02885       1.32632        15.42261       -6.8666725     0.24157        14.45471       
258       4551      5884      13.16679       1.1483         15.565646      -7.0431318     0.23693        6.55343        
259       4662      5884      13.35007       0.91625        15.757658      -7.2750173     0.23306        -1.48598       
260       4773      5884      13.57439       0.65674        15.99139       -7.5357971     0.22986        -9.71717       
261       4884      5884      13.79253       0.42077        16.213249      -7.7703476     0.2281         -17.98346      
262       4995      5884      14.03145       0.17458        16.45701       -8.0170956     0.22652        -26.43865      
263       5106      5884      14.30365       -0.13171       16.738514      -8.3236494     0.22635        -34.84812      
264       5217      5884      14.64416       -0.44622       17.082634      -8.6384783     0.22725        -43.23321      
265       5328      5884      14.82225       -0.67776       17.26947       -8.869668      0.22927        -51.55759      
266       5439      5884      15.13494       -0.9761        17.58543       -9.1668806     0.23205        -59.76765      
267       5550      5884      15.34293       -1.19094       17.796694      -9.3805561     0.23522        -67.89135      
268       5661      5884      15.47316       -1.36328       17.932974      -9.5519295     0.24049        -75.70599      
269       5772      5884      15.79833       -1.67852       18.264374      -9.8660908     0.24494        -83.48969      
270       5883      5884      16.01428       -1.88924       18.483507      -10.076112     0.25052        -91.01593      
271       0         5968      16.35434       -2.25032       18.853352      -10.450418     0.29833        -90.40101      
272       100       5968      16.63529       -2.54367       19.142363      -10.743226     0.30322        -96.98754      
273       200       5968      16.61238       -2.53684       19.117725      -10.734832     0.3086         -103.50972     
274       300       5968      16.89162       -2.82142       19.403471      -11.017295     0.31376        -109.82001     
275       400       5968      16.90463       -2.83996       19.413805      -11.034153     0.31946        -116.09862     
276       500       5968      17.09727       -3.00214       19.606049      -11.195104     0.32462        -122.17942     
277       600       5968      17.17975       -3.09586       19.690712      -11.288301     0.32997        -128.28405     
278       700       5968      17.35388       -3.25002       19.865658      -11.442127     0.33499        -134.20044     
279       800       5968      17.34861       -3.27321       19.862488      -11.465146     0.34018        -140.17602     
280       900       5968      17.55486       -3.4246        20.063698      -11.614577     0.3451         -145.9096      
281       1000      5968      17.56585       -3.42098       20.070837      -11.611255     0.34989        -151.68461     
282       1100      5968      17.46314       -3.32894       19.962141      -11.517823     0.35447        -157.29534     
283       1200      5968      17.46061       -3.31343       19.953636      -11.500388     0.35855        -162.92514     
284       1300      5968      17.30715       -3.15252       19.791422      -11.338888     0.36214        -168.40491     
285       1400      5968      17.49524       -3.31123       19.979763      -11.496968     0.36554        -173.93324     
286       1500      5968      17.47195       -3.2627        19.950632      -11.447511     0.36804        -179.35873     
287       1600      5968      17.23726       -3.07696       19.715462      -11.263144     0.37067        175.16859      
288       1700      5968      17.11587       -2.91488       19.580544      -11.098259     0.37264        169.77622      
289       1800      5968      17.09466       -2.87304       19.55517       -11.055609     0.37417        164.35233      
290       1900      5968      16.96343       -2.691         19.41452       -10.875251     0.37529        159.02443      
291       2000      5968      16.81083       -2.55882       19.259169      -10.742738     0.37623        153.58729      
292       2100      5968      16.68849       -2.40128       19.130085      -10.585743     0.37638        148.26414      
293       2200      5968      16.47574       -2.15431       18.907944      -10.338703     0.37621        142.84058      
294       2300      5968      16.34143       -1.98857       18.76543       -10.172644     0.37572        137.50919      
295       2400      5968      16.16655       -1.76606       18.581455      -9.9507561     0.37485        132.08315      
296       2500      5968      15.92579       -1.52832       18.33609       -9.7135868     0.37353        126.71798      
297       2600      5968      15.54663       -1.13031       17.948149      -9.3168764     0.37147        121.29939      
298       2700      5968      15.42353       -0.9839        17.822519      -9.1707964     0.36908        115.95697      
299       2800      5968      15.0223        -0.59754       17.41765       -8.7858925     0.36622        110.50605      
300       2900      5968      14.80677       -0.3629        17.199478      -8.5523119     0.36298        105.12967      
