The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.9334         -31.97         0.04727        71.77          0.45835        126.66         0.87881        -28.13         

Pt        X         Y         gamma_s        angle          gamma_in       angle          
148       2940      5680      0.24125        109.83277      0.88407        -28.1937       
149       3087      5680      0.235          102.33563      0.8839         -28.24053      
150       3234      5680      0.2283         94.67048       0.8836         -28.2875       
151       3381      5680      0.22015        86.89308       0.88313        -28.33139      
152       3528      5680      0.21158        78.87203       0.88251        -28.3704       
153       3675      5680      0.20333        70.47187       0.88175        -28.40301      
154       3822      5680      0.19414        61.75925       0.88087        -28.42395      
155       3969      5680      0.18515        52.70195       0.87993        -28.43224      
156       4116      5680      0.17625        43.11028       0.87897        -28.42647      
157       4263      5680      0.168          33.07444       0.87806        -28.40726      
158       4410      5680      0.16007        22.41143       0.87725        -28.37498      
159       4557      5680      0.15324        11.1544        0.87659        -28.33323      
160       4704      5680      0.14806        -0.65125       0.87609        -28.28549      
161       4851      5680      0.14499        -12.94925      0.87575        -28.23465      
162       4998      5680      0.14321        -25.48438      0.87559        -28.1831       
163       5145      5680      0.14372        -38.0224       0.87558        -28.13374      
164       5292      5680      0.14682        -50.4441       0.87567        -28.0872       
165       5439      5680      0.1511         -62.43759      0.87588        -28.04533      
166       5586      5680      0.15694        -73.93281      0.87616        -28.00823      
167       5733      5680      0.16388        -84.75203      0.8765         -27.97642      
168       5880      5680      0.17192        -95.13746      0.87689        -27.94894      
169       0         5789      0.21755        -92.72919      0.8764         -27.90711      
170       125       5789      0.22442        -101.0556      0.87685        -27.88644      
171       250       5789      0.23186        -109.15511     0.8773         -27.86924      
172       375       5789      0.23892        -116.96614     0.87777        -27.85609      
173       500       5789      0.24616        -124.4644      0.87823        -27.84603      
174       625       5789      0.2532         -131.84238     0.87869        -27.839        
175       750       5789      0.25971        -138.95505     0.87915        -27.83503      
176       875       5789      0.2662         -145.99683     0.87961        -27.83348      
177       1000      5789      0.27243        -152.83076     0.88006        -27.83431      
178       1125      5789      0.27773        -159.53722     0.88051        -27.838        
179       1250      5789      0.28237        -166.22325     0.88095        -27.84436      
180       1375      5789      0.28671        -172.71731     0.88139        -27.85274      
181       1500      5789      0.29033        -179.15612     0.88181        -27.86369      
182       1625      5789      0.29318        174.35909      0.88223        -27.87753      
183       1750      5789      0.29548        167.97337      0.88264        -27.89379      
184       1875      5789      0.29686        161.62593      0.88303        -27.91297      
185       2000      5789      0.29782        155.25734      0.88341        -27.93501      
186       2125      5789      0.29772        148.99794      0.88375        -27.96         
187       2250      5789      0.29708        142.60263      0.88409        -27.9887       
188       2375      5789      0.29552        136.27567      0.88438        -28.02058      
189       2500      5789      0.29354        129.93527      0.88463        -28.05578      
190       2625      5789      0.29084        123.49808      0.88483        -28.09498      
191       2750      5789      0.2874         117.1313       0.88495        -28.13703      
192       2875      5789      0.28319        110.66917      0.885          -28.18262      
193       3000      5789      0.27846        104.07546      0.88495        -28.23139      
194       3125      5789      0.27305        97.48414       0.88477        -28.28141      
195       3250      5789      0.26699        90.74603       0.88446        -28.33228      
196       3375      5789      0.2606         83.85841       0.884          -28.38217      
197       3500      5789      0.25349        76.8962        0.88338        -28.42767      
198       3625      5789      0.24643        69.63409       0.8826         -28.46813      
199       3750      5789      0.23863        62.31162       0.88169        -28.49772      
200       3875      5789      0.23135        54.72521       0.88068        -28.51681      
201       4000      5789      0.22375        46.80505       0.87959        -28.52166      
202       4125      5789      0.21636        38.67757       0.87852        -28.51172      
203       4250      5789      0.20953        30.28823       0.8775         -28.48817      
204       4375      5789      0.20252        21.57812       0.87661        -28.45091      
205       4500      5789      0.19679        12.58706       0.87586        -28.40538      
206       4625      5789      0.19191        3.1465         0.87528        -28.35253      
207       4750      5789      0.18812        -6.48801       0.87488        -28.29658      
208       4875      5789      0.18577        -16.23103      0.87464        -28.24057      
209       5000      5789      0.18456        -26.20256      0.87455        -28.18531      
210       5125      5789      0.18474        -36.0909       0.87459        -28.1337       
211       5250      5789      0.18635        -46.0336       0.87474        -28.08548      
212       5375      5789      0.18897        -55.74188      0.87498        -28.04236      
213       5500      5789      0.19301        -65.26946      0.87528        -28.0037       
214       5625      5789      0.1981         -74.50589      0.87562        -27.96977      
215       5750      5789      0.20393        -83.46105      0.87601        -27.94044      
216       5875      5789      0.21034        -92.07739      0.87642        -27.91553      
217       0         5884      0.25798        -91.1883       0.87601        -27.87036      
218       111       5884      0.26364        -98.54563      0.87647        -27.85162      
219       222       5884      0.26975        -105.72829     0.87694        -27.83602      
220       333       5884      0.27583        -112.74951     0.87741        -27.8236       
221       444       5884      0.28207        -119.66066     0.87787        -27.81384      
222       555       5884      0.28814        -126.3385      0.87833        -27.8068       
223       666       5884      0.29433        -132.89371     0.87879        -27.80191      
224       777       5884      0.30054        -139.3446      0.87924        -27.79908      
225       888       5884      0.30592        -145.62505     0.87968        -27.79884      
226       999       5884      0.3111         -151.92956     0.88013        -27.80064      
227       1110      5884      0.31594        -158.07884     0.88057        -27.80436      
228       1221      5884      0.32034        -164.14435     0.881          -27.81007      
229       1332      5884      0.3245         -170.12203     0.88143        -27.81755      
230       1443      5884      0.32791        -176.11668     0.88186        -27.82741      
231       1554      5884      0.3313         177.99695      0.88228        -27.83885      
232       1665      5884      0.33354        172.15157      0.88268        -27.8529       
233       1776      5884      0.33518        166.26003      0.88309        -27.86948      
234       1887      5884      0.3366         160.45028      0.88349        -27.88806      
235       1998      5884      0.33747        154.61188      0.88387        -27.90937      
236       2109      5884      0.33776        148.82487      0.88424        -27.93328      
237       2220      5884      0.33715        142.99547      0.8846         -27.96058      
238       2331      5884      0.33618        137.20539      0.88493        -27.99069      
239       2442      5884      0.33478        131.3692       0.88523        -28.0243       
240       2553      5884      0.33263        125.54032      0.88549        -28.06146      
241       2664      5884      0.33017        119.68107      0.88571        -28.10225      
242       2775      5884      0.32697        113.79507      0.88587        -28.14689      
243       2886      5884      0.32358        107.88007      0.88596        -28.19505      
244       2997      5884      0.31917        101.89311      0.88594        -28.24695      
245       3108      5884      0.31468        95.91856       0.88582        -28.30101      
246       3219      5884      0.30978        89.74504       0.88557        -28.35823      
247       3330      5884      0.3041         83.61137       0.88517        -28.41457      
248       3441      5884      0.29792        77.32216       0.88459        -28.46963      
249       3552      5884      0.29141        71.01276       0.88384        -28.51943      
250       3663      5884      0.28525        64.48955       0.88293        -28.5636       
251       3774      5884      0.27873        57.82507       0.88186        -28.59714      
252       3885      5884      0.27204        51.04555       0.88069        -28.617        
253       3996      5884      0.26535        44.05601       0.87944        -28.62157      
254       4107      5884      0.25919        36.96228       0.87821        -28.61077      
255       4218      5884      0.25286        29.61568       0.87704        -28.58331      
256       4329      5884      0.24667        22.1387        0.876          -28.54183      
257       4440      5884      0.24157        14.45471       0.87512        -28.49088      
258       4551      5884      0.23693        6.55343        0.87443        -28.43201      
259       4662      5884      0.23306        -1.48598       0.87393        -28.36938      
260       4773      5884      0.22986        -9.71717       0.87361        -28.30527      
261       4884      5884      0.2281         -17.98346      0.87346        -28.24334      
262       4995      5884      0.22652        -26.43865      0.87346        -28.1835       
263       5106      5884      0.22635        -34.84812      0.87358        -28.12851      
264       5217      5884      0.22725        -43.23321      0.87378        -28.07835      
265       5328      5884      0.22927        -51.55759      0.87406        -28.0331       
266       5439      5884      0.23205        -59.76765      0.8744         -27.99303      
267       5550      5884      0.23522        -67.89135      0.87479        -27.95798      
268       5661      5884      0.24049        -75.70599      0.87518        -27.92677      
269       5772      5884      0.24494        -83.48969      0.87561        -27.90062      
270       5883      5884      0.25052        -91.01593      0.87605        -27.87797      
271       0         5968      0.29833        -90.40101      0.87569        -27.83317      
272       100       5968      0.30322        -96.98754      0.87617        -27.81641      
273       200       5968      0.3086         -103.50972     0.87664        -27.80219      
274       300       5968      0.31376        -109.82001     0.8771         -27.79103      
275       400       5968      0.31946        -116.09862     0.87757        -27.78177      
276       500       5968      0.32462        -122.17942     0.87802        -27.7752       
277       600       5968      0.32997        -128.28405     0.87847        -27.77041      
278       700       5968      0.33499        -134.20044     0.87892        -27.76769      
279       800       5968      0.34018        -140.17602     0.87937        -27.76656      
280       900       5968      0.3451         -145.9096      0.8798         -27.7671       
281       1000      5968      0.34989        -151.68461     0.88023        -27.7693       
282       1100      5968      0.35447        -157.29534     0.88066        -27.77295      
283       1200      5968      0.35855        -162.92514     0.88108        -27.77846      
284       1300      5968      0.36214        -168.40491     0.8815         -27.78551      
285       1400      5968      0.36554        -173.93324     0.88191        -27.79423      
286       1500      5968      0.36804        -179.35873     0.88232        -27.80489      
287       1600      5968      0.37067        175.16859      0.88273        -27.8171       
288       1700      5968      0.37264        169.77622      0.88314        -27.83122      
289       1800      5968      0.37417        164.35233      0.88354        -27.84748      
290       1900      5968      0.37529        159.02443      0.88393        -27.86555      
291       2000      5968      0.37623        153.58729      0.88433        -27.88617      
292       2100      5968      0.37638        148.26414      0.88471        -27.90907      
293       2200      5968      0.37621        142.84058      0.88508        -27.93505      
294       2300      5968      0.37572        137.50919      0.88544        -27.96338      
295       2400      5968      0.37485        132.08315      0.88579        -27.99534      
296       2500      5968      0.37353        126.71798      0.8861         -28.03032      
297       2600      5968      0.37147        121.29939      0.88638        -28.06942      
298       2700      5968      0.36908        115.95697      0.88662        -28.11164      
299       2800      5968      0.36622        110.50605      0.88681        -28.15857      
300       2900      5968      0.36298        105.12967      0.88693        -28.20866      
301       3000      5968      0.35954        99.56338       0.88697        -28.26421      
302       3100      5968      0.3557         94.06995       0.8869         -28.32238      
303       3200      5968      0.35112        88.44081       0.8867         -28.38451      
304       3300      5968      0.34644        82.88651       0.88636        -28.44703      
305       3400      5968      0.34123        77.15256       0.88584        -28.51089      
306       3500      5968      0.33599        71.40314       0.88514        -28.57205      
307       3600      5968      0.33028        65.52578       0.88423        -28.62821      
308       3700      5968      0.32438        59.62925       0.88314        -28.67489      
309       3800      5968      0.31883        53.56517       0.88189        -28.71099      
310       3900      5968      0.31299        47.48619       0.88053        -28.73079      
311       4000      5968      0.30697        41.22943       0.8791         -28.73296      
312       4100      5968      0.30141        34.89204       0.87769        -28.71783      
313       4200      5968      0.29577        28.38939       0.87635        -28.68461      
314       4300      5968      0.29047        21.80817       0.87517        -28.63674      
315       4400      5968      0.28551        15.01166       0.87417        -28.57666      
316       4500      5968      0.28103        8.15842        0.8734         -28.50937      
317       4600      5968      0.27727        1.15865        0.87283        -28.43805      
318       4700      5968      0.27405        -5.91423       0.87246        -28.36614      
319       4800      5968      0.27152        -13.07703      0.87228        -28.29599      
320       4900      5968      0.2697         -20.3277       0.87226        -28.22923      
321       5000      5968      0.26867        -27.5836       0.87236        -28.16754      
322       5100      5968      0.26819        -34.88601      0.87257        -28.11106      
323       5200      5968      0.26871        -42.17226      0.87285        -28.06012      
324       5300      5968      0.26996        -49.44005      0.8732         -28.01458      
325       5400      5968      0.27218        -56.68127      0.87358        -27.97394      
326       5500      5968      0.27438        -63.77837      0.874          -27.93914      
327       5600      5968      0.27784        -70.8114       0.87444        -27.90812      
328       5700      5968      0.28198        -77.73274      0.87488        -27.8811       
329       5800      5968      0.28634        -84.5581       0.87534        -27.858        
330       5900      5968      0.29065        -91.25601      0.8758         -27.83873      
331       0         6044      0.33908        -89.99048      0.87543        -27.79578      
332       90        6044      0.34299        -95.8267       0.8759         -27.78156      
333       180       6044      0.34717        -101.68192     0.87637        -27.76952      
334       270       6044      0.35163        -107.4509      0.87683        -27.75953      
335       360       6044      0.35643        -113.15532     0.87729        -27.75132      
336       450       6044      0.36123        -118.75322     0.87773        -27.74499      
337       540       6044      0.36617        -124.26037     0.87817        -27.74024      
338       630       6044      0.37103        -129.69906     0.8786         -27.73707      
339       720       6044      0.3753         -135.07442     0.87903        -27.73576      
340       810       6044      0.38015        -140.45057     0.87945        -27.73535      
341       900       6044      0.38405        -145.64616     0.87986        -27.73678      
342       990       6044      0.38819        -150.94753     0.88028        -27.73936      
343       1080      6044      0.392          -156.11419     0.88069        -27.74321      
344       1170      6044      0.39559        -161.26615     0.8811         -27.74836      
345       1260      6044      0.39925        -166.37871     0.88151        -27.75457      
346       1350      6044      0.40232        -171.39273     0.8819         -27.76219      
347       1440      6044      0.40517        -176.45392     0.88231        -27.77127      
348       1530      6044      0.40748        178.53962      0.8827         -27.78185      
349       1620      6044      0.40972        173.54752      0.8831         -27.79376      
350       1710      6044      0.4121         168.59458      0.8835         -27.80684      
351       1800      6044      0.41375        163.58958      0.8839         -27.82209      
352       1890      6044      0.41472        158.66475      0.88429        -27.83915      
353       1980      6044      0.41526        153.70933      0.88468        -27.85837      
354       2070      6044      0.41562        148.79795      0.88507        -27.87943      
355       2160      6044      0.41594        143.84693      0.88546        -27.90278      
356       2250      6044      0.41584        138.8899       0.88584        -27.92876      
357       2340      6044      0.41484        134.00022      0.8862         -27.95751      
358       2430      6044      0.41436        129.0458       0.88656        -27.98905      
359       2520      6044      0.41305        124.10818      0.88689        -28.02409      
360       2610      6044      0.41129        119.14448      0.88721        -28.06293      
361       2700      6044      0.40921        114.22871      0.88748        -28.10516      
