The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.93067        -33.36         0.04836        69.17          0.45393        124.11         0.87347        -29.5          

Pt        X         Y         gamma_s        angle          gamma_in       angle          
143       2205      5680      0.20115        -43.20213      0.86902        -29.44193      
144       2352      5680      0.20164        -52.92514      0.86936        -29.39659      
145       2499      5680      0.2021         -62.58673      0.86977        -29.35815      
146       2646      5680      0.20301        -72.27601      0.87024        -29.32568      
147       2793      5680      0.20434        -81.86324      0.87074        -29.29922      
148       2940      5680      0.20578        -91.35932      0.87126        -29.27846      
149       3087      5680      0.20703        -100.84554     0.8718         -29.26309      
150       3234      5680      0.20864        -110.28217     0.87234        -29.2522       
151       3381      5680      0.20968        -119.58581     0.87288        -29.2464       
152       3528      5680      0.21055        -128.89471     0.87341        -29.24485      
153       3675      5680      0.21223        -138.06681     0.87393        -29.24628      
154       3822      5680      0.21332        -147.26099     0.87445        -29.25202      
155       3969      5680      0.21418        -156.40116     0.87495        -29.2615       
156       4116      5680      0.21519        -165.48859     0.87544        -29.27433      
157       4263      5680      0.21571        -174.57508     0.8759         -29.29118      
158       4410      5680      0.21587        176.3373       0.87634        -29.31199      
159       4557      5680      0.21578        167.31036      0.87675        -29.33659      
160       4704      5680      0.21576        158.30456      0.87713        -29.3649       
161       4851      5680      0.21581        149.24574      0.87747        -29.39737      
162       4998      5680      0.21484        140.18065      0.87774        -29.43453      
163       5145      5680      0.21372        131.02903      0.87794        -29.47611      
164       5292      5680      0.21317        121.90125      0.87807        -29.52123      
165       5439      5680      0.21196        112.67499      0.87808        -29.57038      
166       5586      5680      0.21062        103.45082      0.87796        -29.62188      
167       5733      5680      0.20902        94.10038       0.87768        -29.67479      
168       5880      5680      0.20745        84.70489       0.87722        -29.72645      
169       0         5789      0.25869        100.83571      0.87908        -29.65231      
170       125       5789      0.25733        92.84685       0.87883        -29.71116      
171       250       5789      0.25611        84.74808       0.87841        -29.77124      
172       375       5789      0.25446        76.75258       0.8778         -29.82786      
173       500       5789      0.25293        68.66874       0.87698        -29.87949      
174       625       5789      0.25165        60.54869       0.87597        -29.92218      
175       750       5789      0.25012        52.4363        0.87481        -29.95075      
176       875       5789      0.24876        44.24117       0.87353        -29.96283      
177       1000      5789      0.2478         36.01932       0.87222        -29.95662      
178       1125      5789      0.24662        27.85037       0.87098        -29.93075      
179       1250      5789      0.24516        19.55193       0.86987        -29.88663      
180       1375      5789      0.24404        11.34977       0.86897        -29.83047      
181       1500      5789      0.24348        3.13063        0.86828        -29.76635      
182       1625      5789      0.2428         -5.19758       0.86783        -29.69698      
183       1750      5789      0.24229        -13.47392      0.86761        -29.62801      
184       1875      5789      0.24206        -21.7256       0.86758        -29.5622       
185       2000      5789      0.24185        -30.03784      0.86771        -29.50084      
186       2125      5789      0.24174        -38.27446      0.86796        -29.44609      
187       2250      5789      0.24197        -46.58771      0.86831        -29.39722      
188       2375      5789      0.24222        -54.82383      0.86873        -29.35535      
189       2500      5789      0.24293        -63.03635      0.86919        -29.31946      
190       2625      5789      0.24383        -71.24039      0.86969        -29.28923      
191       2750      5789      0.24468        -79.35995      0.8702         -29.26466      
192       2875      5789      0.24565        -87.43691      0.87073        -29.24489      
193       3000      5789      0.24687        -95.59182      0.87126        -29.22913      
194       3125      5789      0.24796        -103.58417     0.87179        -29.21776      
195       3250      5789      0.24928        -111.629       0.87232        -29.20975      
196       3375      5789      0.25042        -119.61726     0.87284        -29.20533      
197       3500      5789      0.25143        -127.47509     0.87335        -29.20417      
198       3625      5789      0.25268        -135.45695     0.87386        -29.20573      
199       3750      5789      0.25359        -143.27131     0.87435        -29.21034      
200       3875      5789      0.25497        -151.11214     0.87484        -29.21727      
201       4000      5789      0.25568        -158.94108     0.87532        -29.2275       
202       4125      5789      0.25657        -166.6703      0.87578        -29.24012      
203       4250      5789      0.2571         -174.45299     0.87623        -29.2559       
204       4375      5789      0.25756        177.79965      0.87667        -29.27452      
205       4500      5789      0.25757        170.07961      0.87708        -29.29639      
206       4625      5789      0.25759        162.35721      0.87748        -29.32138      
207       4750      5789      0.25751        154.62258      0.87785        -29.34979      
208       4875      5789      0.25731        146.89468      0.87819        -29.38177      
209       5000      5789      0.257          139.0919       0.87849        -29.41788      
210       5125      5789      0.25615        131.38284      0.87874        -29.45765      
211       5250      5789      0.25549        123.58673      0.87892        -29.50168      
212       5375      5789      0.25423        115.75771      0.87902        -29.54987      
213       5500      5789      0.25328        107.89511      0.87902        -29.60169      
214       5625      5789      0.25211        99.99068       0.8789         -29.65662      
215       5750      5789      0.25082        92.03671       0.87864        -29.71351      
216       5875      5789      0.24953        84.05596       0.8782         -29.77043      
