The S-parameters of DUT is:
gam:S11        ang:S11        gam:S12        ang:S12        gam:S21        ang:S21        gam:S22        ang:S22        
0.93067        -33.36         0.04836        69.17          0.45393        124.11         0.87347        -29.5          

Pt        X         Y         gamma_l        angle          gamma_out      angle          
189       5020      7121      0.22348        178.80022      0.93335        -33.16226      
190       5271      7121      0.23708        161.33018      0.93435        -33.19788      
191       5522      7121      0.25215        144.90336      0.93529        -33.24658      
192       5773      7121      0.26654        129.36766      0.93611        -33.3106       
193       6024      7121      0.28012        114.57061      0.93674        -33.39124      
194       6275      7121      0.29155        100.34614      0.93709        -33.48972      
195       6526      7121      0.30024        86.5142        0.93696        -33.60438      
196       6777      7121      0.30607        72.87578       0.93617        -33.72775      
197       7028      7121      0.30845        59.35163       0.93451        -33.83995      
198       7279      7121      0.3075         45.82509       0.93201        -33.91043      
199       7530      7121      0.30308        32.23474       0.92912        -33.90899      
200       7781      7121      0.29534        18.35372       0.92653        -33.82924      
201       8032      7121      0.28511        4.17439        0.92483        -33.698        
202       8283      7121      0.27257        -10.50867      0.92418        -33.55218      
203       8534      7121      0.25863        -25.83749      0.92437        -33.42019      
204       8785      7121      0.24399        -41.9226       0.9251         -33.31453      
205       9036      7121      0.23026        -59.01877      0.92612        -33.23563      
206       9287      7121      0.21817        -77.16019      0.92726        -33.18102      
207       9538      7121      0.20934        -96.34819      0.92846        -33.14627      
208       9789      7121      0.20486        -116.29895     0.92965        -33.12804      
209       10040     7121      0.20564        -136.47803     0.93081        -33.12366      
210       10291     7121      0.21164        -156.30035     0.93194        -33.13158      
211       10542     7121      0.22176        -175.28976     0.93303        -33.15147      
212       10793     7121      0.23531        166.81337      0.93407        -33.18304      
213       11044     7121      0.24987        149.99528      0.93504        -33.22806      
214       11295     7121      0.26495        134.1822       0.93591        -33.28731      
215       11546     7121      0.27885        119.13526      0.93663        -33.36328      
216       11797     7121      0.29106        104.66867      0.93709        -33.45752      
217       0         7223      0.29401        139.79967      0.93615        -33.24523      
218       222       7223      0.30658        126.20015      0.93694        -33.31089      
219       444       7223      0.31804        113.00819      0.93758        -33.39284      
220       666       7223      0.32796        100.19282      0.93798        -33.49251      
221       888       7223      0.33604        87.62983       0.93798        -33.61026      
222       1110      7223      0.3417         75.27241       0.93738        -33.74104      
223       1332      7223      0.34458        63.04764       0.93596        -33.87058      
224       1554      7223      0.34492        50.80467       0.93361        -33.97362      
225       1776      7223      0.34283        38.58181       0.93056        -34.01637      
226       1998      7223      0.33793        26.19815       0.92738        -33.97589      
227       2220      7223      0.33084        13.65324       0.92484        -33.86153      
228       2442      7223      0.32152        0.837          0.92336        -33.70703      
229       2664      7223      0.31074        -12.33177      0.92292        -33.54993      
230       2886      7223      0.299          -25.92182      0.92325        -33.41289      
231       3108      7223      0.28666        -40.0532       0.92405        -33.30357      
232       3330      7223      0.27452        -54.77975      0.92511        -33.22161      
233       3552      7223      0.26335        -70.18751      0.92627        -33.16296      
234       3774      7223      0.25445        -86.27335      0.92746        -33.12295      
235       3996      7223      0.24804        -102.93402     0.92863        -33.09856      
236       4218      7223      0.24507        -119.96449     0.92978        -33.08679      
237       4440      7223      0.24615        -137.13931     0.9309         -33.08553      
238       4662      7223      0.25123        -154.06754     0.93199        -33.09374      
239       4884      7223      0.25937        -170.4157      0.93303        -33.11121      
240       5106      7223      0.26997        173.83365      0.93404        -33.13814      
241       5328      7223      0.28206        158.78001      0.93502        -33.17523      
242       5550      7223      0.29515        144.34275      0.93594        -33.22373      
243       5772      7223      0.30776        130.46741      0.93679        -33.28594      
244       5994      7223      0.31969        117.10651      0.9375         -33.36357      
245       6216      7223      0.33021        104.15493      0.93801        -33.45893      
246       6438      7223      0.3388         91.58567       0.93817        -33.57233      
247       6660      7223      0.34528        79.1232        0.9378         -33.703        
248       6882      7223      0.3489         66.79021       0.93663        -33.83909      
249       7104      7223      0.34987        54.48622       0.93451        -33.95759      
250       7326      7223      0.34827        42.16987       0.93153        -34.02393      
251       7548      7223      0.34387        29.78534       0.92822        -34.00774      
252       7770      7223      0.33711        17.22623       0.92536        -33.90841      
253       7992      7223      0.32836        4.39205        0.92352        -33.75651      
254       8214      7223      0.31756        -8.7534        0.92282        -33.59271      
255       8436      7223      0.30581        -22.30279      0.923          -33.44591      
256       8658      7223      0.29313        -36.37094      0.92374        -33.32722      
257       8880      7223      0.28094        -50.99669      0.92476        -33.23739      
258       9102      7223      0.26919        -66.26339      0.92593        -33.1729       
259       9324      7223      0.2597         -82.20019      0.92713        -33.1283       
260       9546      7223      0.25246        -98.72079      0.92832        -33.10039      
261       9768      7223      0.24872        -115.69186     0.92949        -33.08556      
262       9990      7223      0.24868        -132.88447     0.93063        -33.08198      
263       10212     7223      0.25251        -149.84065     0.93173        -33.08823      
264       10434     7223      0.26002        -166.47093     0.9328         -33.1037       
265       10656     7223      0.27029        177.5357       0.93383        -33.1285       
266       10878     7223      0.28247        162.20852      0.93483        -33.16337      
267       11100     7223      0.29534        147.5592       0.93578        -33.20969      
268       11322     7223      0.30833        133.54128      0.93666        -33.26894      
269       11544     7223      0.3206         120.10036      0.93742        -33.34313      
270       11766     7223      0.33164        106.97741      0.938          -33.43569      
271       0         7314      0.33522        140.46427      0.93671        -33.21823      
272       200       7314      0.34637        128.05556      0.93754        -33.28084      
273       400       7314      0.35672        115.98124      0.93828        -33.35827      
274       600       7314      0.36599        104.12636      0.93885        -33.45357      
275       800       7314      0.37379        92.5386        0.93913        -33.56796      
276       1000      7314      0.37992        81.09698       0.93895        -33.70177      
277       1200      7314      0.38385        69.7748        0.93807        -33.84835      
278       1400      7314      0.38548        58.51649       0.93625        -33.99026      
279       1600      7314      0.38521        47.26291       0.93341        -34.09738      
280       1800      7314      0.38298        35.96502       0.92984        -34.13272      
281       2000      7314      0.37851        24.56903       0.92626        -34.07386      
282       2200      7314      0.37216        13.00304       0.92347        -33.9352       
283       2400      7314      0.36421        1.31151        0.92191        -33.75879      
284       2600      7314      0.35483        -10.64983      0.92148        -33.58318      
285       2800      7314      0.34484        -22.92786      0.92184        -33.43135      
286       3000      7314      0.33391        -35.51855      0.92271        -33.311        
287       3200      7314      0.323          -48.50401      0.92381        -33.21996      
288       3400      7314      0.31272        -61.90884      0.925          -33.15343      
289       3600      7314      0.30383        -75.82074      0.92622        -33.10603      
290       3800      7314      0.29647        -90.1271       0.92742        -33.07447      
291       4000      7314      0.29116        -104.79444     0.92858        -33.05548      
292       4200      7314      0.28856        -119.76414     0.92971        -33.04661      
293       4400      7314      0.28916        -134.7181      0.93079        -33.04622      
294       4600      7314      0.29293        -149.55202     0.93184        -33.05336      
295       4800      7314      0.29912        -164.10549     0.93286        -33.06806      
296       5000      7314      0.30745        -178.27653     0.93386        -33.09022      
297       5200      7314      0.31731        167.97023      0.93483        -33.12044      
298       5400      7314      0.32847        154.66703      0.93578        -33.15941      
299       5600      7314      0.33996        141.74152      0.9367         -33.20909      
300       5800      7314      0.3512         129.23621      0.93756        -33.27114      
301       6000      7314      0.36205        117.08203      0.93834        -33.34791      
302       6200      7314      0.37102        105.26582      0.93894        -33.44214      
303       6400      7314      0.37885        93.63172       0.93927        -33.55648      
304       6600      7314      0.38473        82.16637       0.93915        -33.69092      
305       6800      7314      0.38881        70.78088       0.93835        -33.84068      
306       7000      7314      0.39074        59.44275       0.93659        -33.9892       
307       7200      7314      0.3905         48.12054       0.93375        -34.1049       
308       7400      7314      0.38829        36.77816       0.93011        -34.14865      
309       7600      7314      0.38354        25.31061       0.92639        -34.09366      
310       7800      7314      0.37707        13.69527       0.92346        -33.95418      
311       8000      7314      0.36892        1.91447        0.9218         -33.77275      
312       8200      7314      0.35957        -10.05842      0.92133        -33.59254      
313       8400      7314      0.349          -22.41246      0.92171        -33.436        
314       8600      7314      0.33799        -35.0527       0.92258        -33.31258      
315       8800      7314      0.3271         -48.07109      0.9237         -33.21952      
316       9000      7314      0.31672        -61.52609      0.92492        -33.15168      
317       9200      7314      0.30747        -75.4116       0.92615        -33.10399      
318       9400      7314      0.30007        -89.69316      0.92736        -33.07202      
319       9600      7314      0.29464        -104.37736     0.92854        -33.05275      
320       9800      7314      0.29205        -119.28283     0.92967        -33.04364      
321       10000     7314      0.29259        -134.29378     0.93077        -33.04309      
322       10200     7314      0.29595        -149.17796     0.93183        -33.05047      
323       10400     7314      0.30214        -163.82504     0.93286        -33.06519      
324       10600     7314      0.31072        -178.12628     0.93387        -33.08741      
325       10800     7314      0.32086        168.04062      0.93486        -33.11772      
326       11000     7314      0.33182        154.62389      0.93582        -33.15737      
327       11200     7314      0.34351        141.71083      0.93675        -33.2071       
328       11400     7314      0.35483        129.17587      0.93763        -33.2696       
329       11600     7314      0.36552        116.97548      0.93841        -33.34727      
330       11800     7314      0.37473        105.0911       0.93903        -33.44283      
331       0         7396      0.37632        140.7447       0.93724        -33.19207      
332       181       7396      0.38638        129.47332      0.9381         -33.25062      
333       362       7396      0.3957         118.39012      0.93891        -33.32297      
334       543       7396      0.40432        107.50949      0.93961        -33.41155      
